"2021-06-12","北海道","40390"
"2021-06-12","青森県","2447"
"2021-06-12","岩手県","1580"
"2021-06-12","宮城県","9023"
"2021-06-12","秋田県","762"
"2021-06-12","山形県","2007"
"2021-06-12","福島県","4701"
"2021-06-12","茨城県","10111"
"2021-06-12","栃木県","6663"
"2021-06-12","群馬県","7976"
"2021-06-12","埼玉県","44975"
"2021-06-12","千葉県","38299"
"2021-06-12","東京都","166065"
"2021-06-12","神奈川県","64025"
"2021-06-12","新潟県","3357"
"2021-06-12","富山県","1954"
"2021-06-12","石川県","3869"
"2021-06-12","福井県","1062"
"2021-06-12","山梨県","1777"
"2021-06-12","長野県","4930"
"2021-06-12","岐阜県","9257"
"2021-06-12","静岡県","8823"
"2021-06-12","愛知県","49593"
"2021-06-12","三重県","5127"
"2021-06-12","滋賀県","5398"
"2021-06-12","京都府","16325"
"2021-06-12","大阪府","101678"
"2021-06-12","兵庫県","40452"
"2021-06-12","奈良県","8068"
"2021-06-12","和歌山県","2651"
"2021-06-12","鳥取県","466"
"2021-06-12","島根県","549"
"2021-06-12","岡山県","7544"
"2021-06-12","広島県","11166"
"2021-06-12","山口県","3065"
"2021-06-12","徳島県","1641"
"2021-06-12","香川県","2063"
"2021-06-12","愛媛県","2736"
"2021-06-12","高知県","1652"
"2021-06-12","福岡県","34937"
"2021-06-12","佐賀県","2538"
"2021-06-12","長崎県","3051"
"2021-06-12","熊本県","6393"
"2021-06-12","大分県","3467"
"2021-06-12","宮崎県","3056"
"2021-06-12","鹿児島県","3569"
"2021-06-12","沖縄県","19404"
"2021-06-11","北海道","40265"
"2021-06-11","青森県","2444"
"2021-06-11","岩手県","1564"
"2021-06-11","宮城県","9012"
"2021-06-11","秋田県","761"
"2021-06-11","山形県","2004"
"2021-06-11","福島県","4689"
"2021-06-11","茨城県","10027"
"2021-06-11","栃木県","6629"
"2021-06-11","群馬県","7970"
"2021-06-11","埼玉県","44892"
"2021-06-11","千葉県","38220"
"2021-06-11","東京都","165598"
"2021-06-11","神奈川県","63778"
"2021-06-11","新潟県","3340"
"2021-06-11","富山県","1949"
"2021-06-11","石川県","3861"
"2021-06-11","福井県","1062"
"2021-06-11","山梨県","1777"
"2021-06-11","長野県","4920"
"2021-06-11","岐阜県","9226"
"2021-06-11","静岡県","8787"
"2021-06-11","愛知県","49445"
"2021-06-11","三重県","5115"
"2021-06-11","滋賀県","5385"
